,Smiles,aug-cc-TDDFT,GP_aug-cc-TDDFT,aug-cc-IP,aug-cc-EA,TDDFT energy,DZP_IP,DZP_EA,RS-TDDFT,ID,xTB_IP,xTB_EA,xTB_opticalgap,xTB_osc_strength,xTB_GSolv,fp,n_rings,DZP_callibrated_IP,DZP_callibrated_EA,DZP_Callibrated_Opticalgap,aug-cc-callibrated_IP,aug-cc-callibrated_EA,aug-cc-callibrated_opticalgap,GP-aug-cc-callibrated_opticalgap,RS-callibrated_opticalgap
22,c1cnc2c(c1)cnc1ccccc12,3.9378422927394867,3.9274674055840264,-7.50535050403355,-1.093851207964991,3.978742035193109,-7.436711611040819,-0.8644230861509395,4.439242380896529,104809,-7.2855,-2.2501,4.063,0.0251,-0.494,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025621039AB0>,3,-7.577574772336682,-0.8776210605866981,3.9570003936015965,-7.691902197787285,-1.2317943758910277,3.8691834542207717,3.8497623604654576,4.346546558922755
67,c1cnc2c(c1)ccc1ncccc12,4.0463558523940515,4.05191005436943,-7.460785732736921,-0.9025121661080838,4.100280514160154,-7.394375801874513,-0.6928349656142759,4.4562083735821565,108938,-7.2654,-2.0974,4.124,0.006,-0.49,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000256211205E0>,3,-7.55767962680516,-0.7182387061019682,4.019842014897339,-7.670265018160007,-1.1064251539972678,3.925622676691949,3.905586564195431,4.403040011472648
119,c1cc2cc3ccncc3cc2cn1,3.2233677232868008,3.26022497259535,-7.050537998980983,-1.6622163521593092,3.2625656672325665,-6.971304949197087,-1.4754901252686494,3.729428917653406,115156,-6.7642,-2.6825,3.624,0.2123,-0.487,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002562218D180>,3,-7.061587739223127,-1.328943457961924,3.504746758374857,-7.130734947055964,-1.5868019171278427,3.4630060990593483,3.4480111237858164,3.9399789249981185
109,c1ccc2cc3cnccc3cc2c1,3.165808441187235,3.2035230044558536,-6.680207373870466,-1.387256638455768,3.2131082049493616,-6.6107754959880864,-1.2048728154467507,3.6354337151218035,117323,-6.4009,-2.4019,3.531,0.198,-0.465,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025622204490>,3,-6.701990407302631,-1.0360640298780004,3.4089390406616755,-6.739650998867419,-1.3564246829209732,3.3769594156196843,3.362902091869628,3.853849562913856
27,c1cnc2cc3cccnc3cc2c1,3.2619397269507093,3.2796049280794084,-7.015209225390576,-1.5996762697519862,3.3466559186919316,-6.938268699532538,-1.370883077371389,3.760904514044848,122616,-6.8825,-2.7174,3.691,0.1764,-0.491,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000256225EB500>,3,-7.178682053470842,-1.3653707282403593,3.5737695227488695,-7.258082128643371,-1.6154553935135152,3.5249967204621164,3.5093262328007047,4.002029110585704
103,c1cnc2ccc3ccncc3c2c1,4.0061746357344,4.020974123215955,-7.524236219812684,-1.0953389342657551,4.04598046896913,-7.455723783705512,-0.8588513339108659,4.3990755126911525,124705,-7.1632,-2.2134,4.091,0.0764,-0.478,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000256226BF570>,3,-7.456521225147371,-0.8393150199214092,3.985845727966856,-7.5602491098063895,-1.201663069777727,3.895089982568198,3.8753865851283966,4.372477979765329
14,c1ccc2cc3ncccc3cc2c1,3.143361873211438,3.1701600745441936,-6.647501009838004,-1.3669932961267328,3.218058982265451,-6.580668838537044,-1.1602796402642015,3.6620070064774435,134127,-6.4411,-2.4249,3.552,0.1728,-0.473,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025622B37AB0>,3,-6.741780698365675,-1.0600705403766828,3.4305730414356197,-6.782925358121973,-1.3753080627739953,3.3963893118802537,3.3821202603668317,3.873298128545786
7,c1cnc2cc3ncccc3cc2c1,3.262182462069861,3.279378031053873,-7.017945160689837,-1.6005986531454601,3.3467756606407435,-6.94145407910615,-1.3732993886816653,3.768007539181426,144713,-6.8778,-2.7094,3.699,0.1766,-0.534,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002562A233B90>,3,-7.174029954764466,-1.3570206376321219,3.5820110468532294,-7.253022688631023,-1.608887261390725,3.532398585704238,3.5166474398472585,4.009438087969297
60,c1cc2occc2o1,4.994659503500339,5.047720734594557,-7.0326305872563735,0.23880484637807467,5.248650106235914,-6.988724819848061,0.956738764817949,5.278995368552499,151136,-6.898,-0.4363,5.078,0.5788,-0.223,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025710FCB260>,2,-7.194024081119528,1.0155532325659047,5.002643764342237,-7.274767515918136,0.257365379648601,4.808295106814953,4.778640504496975,5.286560564466052
115,c1cc2sccc2o1,4.838980299363633,4.910537483373816,-7.095563866733356,0.17401124845200547,5.013469746604751,-7.04226397268853,0.5943538559448097,5.128662885949224,151605,-6.6876,-0.6163,5.037,0.4828,-0.265,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025710FE42D0>,2,-6.985768428391555,0.8276761938805653,4.960405953307393,-7.048276839620669,0.10958240688581955,4.77036054744908,4.741119318383387,5.2485895553751405
