,SMILES,UMAP_0,UMAP_1,global_cluster
182,C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C(C=CC=C25)C=C4,-1.5325881,2.5731795,-1
183,C1=CC2=C3C(=C1)C4=CC=CC5=C4C6=C(C=C5)C=CC(=C36)C=C2,-1.5317265,2.5916421,-1
184,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,-1.4608778,2.117605,-1
185,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,-1.2706618,2.1155803,3568
186,C1=CC2=C(C=CC3=C2C=CC=N3)N=C1,-0.7307093,2.363946,-1
187,C1=CC=C(C=C1)C2=CC3=CC=CC=C3C=N2,-0.03726551,3.131267,-1
188,C1=CC=C(C=C1)C2=NC=CC3=CC=CC=C32,-0.20367773,2.47318,5125
189,C1=CC=C2C(=C1)C=NC3=CC=CC=C23,-0.85710853,3.0318704,3380
190,C1=CC=C2C(=C1)C=CN=C2C3=NC=CC4=CC=CC=C43,-0.22840133,2.3249292,-1
191,CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,8.447431,0.8419724,817
192,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,8.172882,0.7208337,-1
193,CCC(=O)OC(CC(=O)O)C[N+](C)(C)C,8.1802025,1.0030146,934
194,CC(=O)OC(CC(=O)O)C[N+](C)(C)C,8.037974,0.9080036,-1
195,CCOC(=O)C(C(C(=O)OCC)O)O,7.2990065,1.0054381,775
196,CCOC(=O)CC(C(=O)OCC)O,7.334816,1.0214083,-1
197,CC(C)OC(=O)C(C(C(=O)OC(C)C)O)O,7.4616566,0.751782,-1
198,CCCCOC(=O)C(C(C(=O)OCCCC)O)O,7.4004135,0.83988625,758
199,C1=CC(=CC(=C1)C(=O)O)C2=CC(=CC=C2)N,1.0288298,1.4255608,-1
200,C1=CC(=CC(=C1)N)C2=CC=C(C=C2)C(=O)O,0.2645371,1.6991863,-1
201,C1=CC=C(C(=C1)C2=CC=C(C=C2)C(=O)O)N,-0.14641309,1.7700576,-1
202,C1=CC=C(C(=C1)C2=CC(=CC=C2)C(=O)O)N,0.6131483,1.5294261,3918
203,C1=CC2=C(C=CC(=C2)C(=O)O)C(=C1)N,-0.5498389,1.4896588,4549
204,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,-1.4867263,2.0211148,-1
205,CC1=C2C=CC=CC2=C(C3=CC=CC=C13)C,-1.5579426,2.5599358,-1
206,C1=CC2=C3C(=C1)C4=CC=CC5=C4C(=CC=C5)C3=CC=C2,-1.2032493,2.8868194,-1
207,C1=CC=C2C3=C4C(=CC2=C1)C5=CC=CC=C5C6=CC=CC(=C64)C=C3,-1.432271,2.1694458,-1
208,C1=CC=C2C(=C1)C=C3C=CC4=C5C3=C2C6=CC=CC=C6C5=CC=C4,-1.4926121,2.5663395,3562
209,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC6=CC=CC=C56)C=C3,-1.4276242,2.2081032,3283
210,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=CC6=CC=CC=C6C(=C54)C=C3,-1.4875319,2.2615132,-1
211,CC1=CC2=CC=CC=C2C3=C1C4=CC=CC=C4C=C3,-1.3439605,2.1392004,3566
212,CC1=C2C=CC3=CC=CC=C3C2=CC4=CC=CC=C14,-1.5666145,2.1437516,-1
213,CC1=C2C(=CC3=CC=CC=C13)C=CC4=CC=CC=C42,-1.5713123,2.3274941,-1
214,CC1CC2C(C(C3(C1CCC3=O)C)O)C(=C)C(=O)O2,4.666911,8.465061,-1
215,CC(=O)NC1=NC=NN1,4.439035,1.9430292,-1
216,CC(C)(C)C(=O)NC1=NC=NN1,4.190894,2.000329,-1
217,C1=CC=C(C=C1)F,2.9535275,-0.8598539,-1
218,C1=CC(=CC(=C1)F)F,2.5595663,0.275183,-1
219,C1=C(C(=C(C(=C1F)F)F)F)F,-0.43911245,1.1622653,4255
220,C1=CC(=CC=C1F)F,2.8758438,-0.39415723,-1
221,C1=CC=C(C(=C1)F)F,0.79231125,0.8799969,-1
222,C1=CC(=C(C(=C1)F)F)F,1.0850786,1.144082,-1
223,C1=NN=CN=N1,1.2005417,2.8176928,-1
224,C1=NN=NN=N1,0.74041444,2.376465,-1
225,C1=NN=C(N=N1)Cl,0.3469322,2.6049037,-1
226,C1=NN=C(N=N1)N=N,0.66523814,2.7284904,-1
227,C1=NSC(=N1)N,2.691573,2.5923772,4462
228,C1=NSC=N1,1.7497609,2.3319316,-1
229,C1=NSC(=N1)Cl,2.6998794,2.5272312,-1
230,C1=NSC(=N1)Br,3.0042846,2.762592,-1
231,C1=NC(=NS1)Cl,0.51475346,2.6025,-1
232,C1=NC(=NS1)Br,0.84769505,2.6668417,-1
233,C1=NC(=NS1)N,0.6307085,2.8263133,-1
234,C1=NSC(=N1)F,2.927527,2.953247,-1
235,C1=NNN=C1CC(=O)N,3.0089872,1.8786728,-1
236,CC(C1=NNN=C1)C(=O)N,2.9983873,1.9440551,-1
237,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,-0.7389395,1.1477257,-1
238,C1=CC=C(C(=C1)Cl)Cl,1.2509234,0.21596554,-1
239,C1=C(C=C(C(=C1Cl)Cl)Cl)Cl,-1.0003083,1.1691926,-1
240,C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,-0.7103511,1.276456,-1
241,C1=CC(=C(C=C1Cl)Cl)Cl,0.19701788,0.41038167,-1
242,C1=CC(=C(C(=C1)Cl)Cl)Cl,0.4757494,0.8069264,-1
243,C1=CC(=C(C(=C1Cl)Cl)Cl)Cl,-0.76117593,1.3012613,3828
244,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,3.3069422,-1.3851595,-1
245,C1=CC(=CC=C1CC(C(=O)O)N)Cl,3.208104,-0.5772027,-1
246,C1=CC=C(C(=C1)C(CC(=O)O)CN)Cl,2.2781038,-0.7767457,-1
247,C1CCNC(C1)C2=CN=CC=C2,1.3308154,5.3584948,3216
248,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,-0.33390507,1.5839746,-1
249,CC1=CN=C(C=C1)C2=NC=C(C=C2)C,1.3058795,2.1473608,-1
250,C1=CC=C(C=C1)C2=CC=NC=C2,0.21543603,2.780539,5309
