SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1
C1=CC=C(C=C1)CC2=NN=C(O2)C3=CC=CC=C3,800230,3.845,4.756,3.1181,4.683412,-0.7269000000000001,-0.07258800000000054,0.0204,0.489195,0.46879499999999996,3.101642445755333,4.733484339372124
C1=CC2=NON=C2C(=C1)Cl,592984,2.515,3.757,2.0709,3.754801,-0.44410000000000016,-0.002199000000000062,0.2142,0.10075,-0.11345,1.790999588112437,3.7098285365860963
COC(=O)C1=C(N=CC=C1)C(=O)OC,69058,4.406,4.651,3.5101,4.258232,-0.8958999999999997,-0.39276800000000023,0.0067,0.00119,-0.00551,3.5306716350381206,4.389312745854877
CC(=O)N1CCCC1=O,70266,4.888,4.918,3.8533,4.301541,-1.0347,-0.6164589999999999,0.0049,0.000875,-0.004025,4.292220719840467,4.55345530329249
C1CCC2=NC3=CC=CC=C3C(=C2C1)N,1935,3.048,4.011,2.7187,4.108173,-0.3292999999999999,0.09717299999999973,0.231,0.084909,-0.14609100000000003,2.6935526420742524,4.004893345641445
C1=CN=C(N=C1)C2=CN=CN=C2,21850997,4.025,4.025,3.2644,3.784758,-0.7606000000000002,-0.2402420000000003,0.0,1e-06,1e-06,3.2269100892372022,3.6562357220092205
CC(SC(C)Cl)Cl,13399461,5.407,5.41,4.694,5.222491,-0.7130000000000001,-0.18750900000000037,0.0012,0.011852,0.010652,4.495683426802195,5.004318352411074
C1=COC=C1,2733420,4.365,5.518,3.8025,5.871048,-0.5625,0.35304800000000025,0.0,0.0,0.0,3.807644611835163,5.7559877076241825
CC1=CC=C(C=C1)N=NC2=CC=CC=C2C,34546,1.366,1.414,1.7957,2.540207,0.42969999999999997,1.1262070000000002,0.0269,0.00023,-0.02667,1.594207589861814,2.4305428372967004
CCCCCC(CCC)CO,24847,7.451,7.468,6.0327,6.278935,-1.4182999999999995,-1.1890650000000003,0.0103,7.8e-05,-0.010222,6.139886400979659,6.3981099354308615
C1=CC=C2C(=C1)C3=CC=CC=C3C2=O,10241,2.614,2.911,2.4556,3.116606,-0.15839999999999987,0.20560599999999996,0.0093,0.004101,-0.005199,2.2437972440144165,2.8894481149664237
C1C2=C(C3=C1C=CC=N3)N=CC=C2,11084280,3.795,4.604,3.1794,4.286027,-0.6156000000000001,-0.3179730000000003,0.005,0.003938,-0.0010620000000000004,3.0436586468344276,4.336839812634157
