,SMILES,UMAP_0,UMAP_1
145,C1CC(OC1CO)N2C=CC(=NC2=O)N,-1.0148329,5.362098
146,C1=C(NC=N1)CC[NH3+],5.7717333,2.1165833
147,CC1=C(C(=O)C=CN1C)O,0.96670794,3.7916768
148,CC1=CC(=CC=C1)C=NC2=CC=CC=C2,2.2989311,-1.7437743
149,CN(C)CCCN(C)CCCN(C)C,7.2780633,2.0758245
150,C1=CC=NC(=C1)C2=CC=CC=N2,0.62504065,3.3175237
151,CCCCCCOCC(=O)C,2.581345,0.2713546
152,C1=NSC=N1,3.5796142,1.9083947
153,CCC1=C(C(=C(C=C1)O)O)O,-0.081196904,0.6848824
154,CC(C)(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,3.1377735,-1.2353417
155,C1C(OC(=O)N1)N,2.49389,4.592418
156,CC1=CC2=C(C=C1)NC3=C2CN(CC3)C,-1.4615201,4.0280824
157,C1=CC=C2C=C3C(=CC2=C1)N=C4N3C=CC=C4,0.11990047,4.327377
158,CC(C)CC1=CC=C(C=C1)C(=O)C,2.935059,-0.8286624
159,C1=CC=C(C=C1)CC(CC2=CC=CC=C2)C(=O)O,5.437638,-0.8202561
160,C[Si](C)(C1=CC=CC=C1)O,4.878868,-1.5189769
161,CCC1CCCO1,6.3592196,-0.19292907
162,CCC1C(=O)OC(C(=O)O1)CC,-1.5748112,3.2487023
163,CC#CC1=CC=C(C=C1)CO,2.802879,-0.34439898
164,C1=CC=C2C(=C1)C=CC=C2C#CCN,0.6840473,0.40996072
165,C1=CN=C(C(=N1)F)F,0.120067455,2.3203986
166,CCCC(=O)C1=NC=CN=C1,4.1413207,1.9161624
167,C1CC(=O)N(C1)CC(=O)N,4.2373414,5.025558
168,C=CCCCCCC=C,10.305386,0.7633511
169,C1CC(NC1)C2=CC=CC=N2,1.8046157,5.3779197
170,COC1=CC=CC2=CC=CC=C21,-0.6512897,0.7187252
171,CC1=NN(C=C1)C2=NC(=CC=C2)N3C=CC(=N3)C,1.921262,3.514607
172,CC1=CC=CC=C1S(=O)(=O)F,1.7576197,0.4479637
173,C1=CC=C2C(=C1)C=C(C(=N2)C(=O)O)C(=O)O,-0.200998,2.559808
174,CC(C)CC1=CC=CC2=C1CCCC2,0.077711076,5.4791574
175,C1=C(C=C(C(=C1[N+](=O)[O-])O)Cl)Cl,-1.9065616,0.6450704
176,CC(=O)N(C1=CC=CC=C1)C(=O)C,4.7586284,-0.9939506
177,C1=CC=C2C(=C1)C=CC3=C2C4=CC=CC=C4O3,-1.5493172,2.4936569
178,CCCCN1C(=CC=C1C)C,2.5489,4.571218
179,C#CC1=CC=CC=C1C(F)(F)F,0.824703,0.3088496
180,C1=CC=C(C=C1)C2=NC=NC=C2,0.58837545,3.098854
181,CCC(=O)C1=CC=CN1,4.829419,1.6003817
182,O=S(Cl)Cl,9.331843,0.97611904
183,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1,-0.5277758,2.2602518
184,C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,-1.0412399,5.0404415
185,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)F)F,3.920625,-0.26658255
186,C(CCCCCC=O)CCCCC=O,9.9538965,0.24602947
187,CS(=O)(=O)OCCOS(=O)(=O)C,3.3218594,-2.0343127
188,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,5.8797545,-0.6561801
189,COC(=O)C1=C(NN=C1)N,1.1472942,1.9662306
190,CCNC1=CC=CC=C1C,2.5961194,1.4337199
191,C1CCC(=C(C#N)C2=CC=CC=C2)CC1,4.1324296,-1.4721788
192,CC(=O)CC(=O)C(F)(F)F,7.724339,0.6060983
193,CCCN(CCC1=CC=CC=C1)C2CCC3=C(C2)C=CC=C3O,-1.3090501,4.039184
194,C1=C(C(=CC(=C1N)N)C#N)C#N,-0.37367344,2.1703484
195,C#CC1=NC(=CC=C1)N,0.9144272,2.6255276
196,COC(=O)CCCCO,7.889978,0.846083
197,CC1=CC2=NC(=C(N2C=C1)N=O)C3=CC=CC=C3,0.43117207,4.0460677
198,CCCCCCCCP(CCCCCCCC)CCCCCCCC,7.4523373,-0.3217329
199,CCCC(C(=O)O)NC(=O)OC(C)(C)C,6.8844457,1.3851525
200,C1=C(C2=NON=C2C(=C1N)[N+](=O)[O-])Cl,-1.6967686,1.0473043
201,CC(CO)O,10.446662,1.7629005
202,CN(C)C1=CC=C(C=C1)C=CC2=CC=C(C=C2)N,2.2031286,-1.7627312
203,C1=CC=C2C=C3C(=CC2=C1)C=CC=C3C=O,-0.86281997,1.8088529
204,CCC(=O)C(C)CC(=O)O,4.345237,-1.8504965
205,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,-1.9077815,2.6681414
206,C(Cl)(Cl)(Cl)Cl,2.0999835,-2.258622
207,C1=CC=C2C(=C1)C=CC=C2C=[N+]=[N-],-0.41649327,-0.037667334
208,CN1CCNCC1,5.6975827,5.1023254
209,C1=CC(=CC(=C1)N=[N+]=[N-])C(F)(F)F,1.7173799,-0.69197667
210,CC1=C2C=CC=CC2=C(C3=CC=CC=C13)CO,-0.48707843,1.8835218
211,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,-0.6385419,5.182176
212,CC1=CC=CC2=CC3=CC=CC=C3N=C12,-0.7087289,2.4712667
213,C1CCC(CC1)N(C2CCCCC2)SC3=NC4=CC=CC=C4S3,-1.9120818,3.0779006
214,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)NCCNCCO)NCCNCCO,2.5099514,0.42954028
215,C=CC=C=C,9.802145,-0.31051794
216,C1(=C(C(=[N+](C(=C1F)F)[O-])F)F)F,-0.4807863,1.2237128
217,CC1=C(C2=C(C=C1)NC=N2)C,-0.45974383,2.8897612
218,C1=CSC(=C1)C=C([N+](=O)[O-])Br,2.5981762,-2.452798
219,CNCC1=NC=CN1C,3.9306202,3.5133264
220,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)N,-1.1661396,3.2225327
221,CC1=CC(=CC=C1)OC,1.6661257,-1.2332058
