SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1,xtb_Lin_T1,xtb_Lin_S1
C1=COC(=C1)S,83164,3.767,4.44,3.5642,5.179001,-0.20279999999999987,0.739001,0.0098,0.09635,0.08655,3.4859328830120297,4.610981899340259,3.2129599630977257,4.356530982527852
C1=CC=C(C=C1)N=C=NC2=CC=CC=C2,98693,3.997,4.429,3.3472,4.465351,-0.6497999999999999,0.0363509999999998,0.0086,0.058224,0.049624,3.3281114023314275,4.6086165818915035,3.38683899839131,4.350523221478255
CN(C)C1=CC=C(C=C1)N=O,8749,0.216,0.216,0.6342,1.620256,0.4182,1.404256,0.0001,0.000304,0.00020400000000000003,0.21531398604704263,0.6253875776100656,0.49352970781603556,1.0610860913664282
C[SH3],58529211,0.307,1.07,4.7643,5.164268,4.4573,4.094268,0.1208,0.007607,-0.113193,0.023667359164716406,1.0678086358333927,0.570115511387681,1.7285937370134543
CC(C)OC(=O)C1=CC=C(C=C1)O,20161,3.932,4.676,3.3924,4.936787,-0.5396000000000001,0.26078699999999966,0.0034,0.003521,0.00012100000000000001,3.2995161033492817,4.7068123179919334,3.345601019559269,4.550568105058337
B(C1=CC=C(N1C)C#N)(O)O,11708078,3.968,5.235,3.2487,5.012742,-0.7193,-0.22225800000000007,0.3986,0.415367,0.016766999999999976,3.323979157983397,5.189024242820802,3.3706550909086728,4.981378388131079
C[Se]C1=CC=CC=C1,78050,3.807,4.196,3.7116,4.102193,-0.09540000000000015,-0.09380699999999997,0.0322,9.6e-05,-0.032104,2.6589342184878593,3.7685794676296935,3.250282972392253,4.17783483633192
CC(C)(C)C1=CC(=NN1)C2=CC=CC=N2,57796544,3.941,4.819,3.0139,4.328336,-0.9270999999999998,-0.49066399999999977,0.4724,0.297831,-0.17456899999999997,3.181418968781178,4.532866193594642,3.346102896671367,4.657378827592362
CC1=CC(=CC(=C1)C2=CC(=CC(=C2)C)C)C,520212,4.336,4.74,3.2498,4.719679,-1.0862000000000003,-0.020321000000000033,0.0005,0.003041,0.002541,3.314357571987783,4.752655855152692,3.653668948003066,4.60026587422186
CC1=CC=C(C=C1)N=NC2=CC=C(C=C2)F,13530355,1.389,1.435,1.8975,2.652888,0.5085,1.2178879999999999,0.0251,1e-06,-0.025099,1.818528859522545,2.59585425436698,1.3819320949557419,2.0055806045115485
CC(C)(C)C(=O)OC,69027,6.21,6.213,5.1496,5.715665,-1.0603999999999996,-0.49733499999999964,0.0072,0.002513,-0.004687,4.992533035738962,5.608323830912052,5.078617955472534,5.733646054261998
C1C(=CC2=CC=CC=C2O1)C3=CC=CC=C3,500460,2.846,3.642,2.3194,3.566335,-0.5266000000000002,-0.07566499999999987,0.5159,0.386486,-0.12941400000000003,2.3567325665090455,3.5514944696484956,2.515453343697184,3.745459689267195
