SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1,xtb_ML_S1fL,xtb_Lin_T1,xtb_Lin_S1,xtb_Lin_S1fL
COC1=CC(=C(C=C1)OC)OC,67284,3.603,4.285,3.5023,4.652667,-0.10070000000000023,0.36766699999999997,0.0984,0.072622,-0.025777999999999995,3.3511159309248946,4.617420418991365,0.07461831509484866,3.087270792985626,4.234993398793766,0.06312273659343606
C1=CC=C(C=C1)C2=NN=C(O2)CCl,314941,3.776,4.714,3.1007,4.613417,-0.6753,-0.10058300000000031,0.0206,0.550969,0.5303690000000001,3.2192262938133984,4.6665653404648895,-0.1576411256758903,3.2196149148317526,4.566316981044894,0.029783896678278958
C1=CC=C(C=C1)CCCCN,83242,5.049,5.02,3.7445,5.297773,-1.3045000000000004,0.2777730000000007,0.0005,0.000962,0.00046199999999999995,3.7886771630647176,5.147468339678455,-0.011794992144530447,4.194376361346466,4.814048345858586,0.02070058605387208
C1=CC(=C(C(=C1)O)F)O,10678246,4.448,4.732,3.692,5.105603,-0.7560000000000002,0.37360300000000013,0.0078,0.000648,-0.0071519999999999995,4.08923286921857,4.956705963643742,0.0006785361394144995,3.736322351089567,4.592114791531365,0.023273216986816565
C1=CC=C(C=C1)N2C=NC3=C2N=CC=C3,5328491,3.98,4.666,3.4767,4.558272,-0.5032999999999999,-0.10772800000000071,0.1621,0.053061,-0.109039,3.471758001848128,4.487896611156696,0.045790411065994005,3.3761196134687457,4.537483695165836,0.09009046560973494
CN(C(=O)NC(C=O)C(C(C(CO)O)O)O)N=O,5299,2.535,2.538,2.0781,3.082548,-0.4569000000000001,0.5445480000000003,0.0047,0.00096,-0.0037400000000000003,2.1450775494086227,2.596778459497473,-0.03430402853004282,2.2687583924995094,2.865147213094096,0.023948963455398237
C1=C(C(=C(C(=C1F)F)CO)F)F,2734029,4.499,4.83,3.7194,5.121385,-0.7795999999999998,0.291385,0.0176,0.032162,0.014562000000000002,3.509470688890952,5.120208116620058,0.05098027044762116,3.7722477128530714,4.659137388099133,0.028452533143328122
C1=C(C=NC(=N1)Cl)F,583466,4.599,4.599,3.6874,4.231021,-0.9116000000000004,-0.36797900000000006,0.0061,0.004582,-0.0015180000000000003,3.7244818137102476,4.258035961962646,-0.0047034271114210985,3.851238643060449,4.484428739737289,0.025467664750052896
C1=CC=C(C=C1)CNC2=C(C=CC=N2)C(=O)O,214596,2.732,3.522,3.5603,4.367891,0.8282999999999996,0.8458910000000004,0.1997,0.000445,-0.199255,2.5090307186160348,3.5087112725208383,0.03256235990608031,2.422244670612782,3.63806063996765,0.10689874142044906
C=CC(=O)NCNC(=O)N,3017522,4.337,4.383,3.2734,4.051544,-1.0635999999999997,-0.3314560000000002,0.0023,0.000311,-0.001989,3.531253514404775,4.141458901433367,-0.0003043368567420719,3.653295607807547,4.32067317965593,0.021339690436976717
